#NTIMES: 5
#TIMES[d]: 100 150 200 300 400
#
TIME: 100
NVEL: 40
vel_mid[km/s] temp[K] rho[gcc] ne[/cm3] natom[/cm3] 
1.175000e+04 1.210000e+04 8.740000e-17 3.096000e+06 1.720000e+06
1.225000e+04 1.240000e+04 7.360000e-17 2.595500e+06 1.450000e+06
1.275000e+04 1.270000e+04 6.190000e-17 2.183800e+06 1.220000e+06
1.325000e+04 1.290000e+04 5.200000e-17 1.843700e+06 1.030000e+06
1.375000e+04 1.320000e+04 4.390000e-17 1.553720e+06 8.680000e+05
1.425000e+04 1.350000e+04 3.670000e-17 1.299540e+06 7.260000e+05
1.475000e+04 1.380000e+04 3.090000e-17 1.093690e+06 6.110000e+05
1.525000e+04 1.410000e+04 2.620000e-17 9.254300e+05 5.170000e+05
1.575000e+04 1.440000e+04 2.200000e-17 7.725200e+05 4.340000e+05
1.625000e+04 1.480000e+04 1.850000e-17 6.497000e+05 3.650000e+05
1.675000e+04 1.520000e+04 1.550000e-17 5.464600e+05 3.070000e+05
1.725000e+04 1.560000e+04 1.310000e-17 4.618200e+05 2.580000e+05
1.775000e+04 1.600000e+04 1.100000e-17 3.884300e+05 2.170000e+05
1.825000e+04 1.640000e+04 9.250000e-18 3.275700e+05 1.830000e+05
1.875000e+04 1.690000e+04 7.790000e-18 2.756600e+05 1.540000e+05
1.925000e+04 1.740000e+04 6.540000e-18 2.309100e+05 1.290000e+05
1.975000e+04 1.790000e+04 5.510000e-18 1.951100e+05 1.090000e+05
2.500000e+02 6.960000e+03 4.450000e-15 7.563200e+07 4.640000e+07
7.500000e+02 7.050000e+03 3.840000e-15 6.600000e+07 4.000000e+07
1.250000e+03 7.120000e+03 3.250000e-15 5.712000e+07 3.400000e+07
1.750000e+03 7.200000e+03 2.740000e-15 4.862000e+07 2.860000e+07
2.250000e+03 7.260000e+03 2.320000e-15 4.162400e+07 2.420000e+07
2.750000e+03 7.330000e+03 1.950000e-15 3.532200e+07 2.030000e+07
3.250000e+03 7.380000e+03 1.640000e-15 2.992500e+07 1.710000e+07
3.750000e+03 7.440000e+03 1.380000e-15 2.548800e+07 1.440000e+07
4.250000e+03 7.500000e+03 1.160000e-15 2.153800e+07 1.210000e+07
4.750000e+03 7.560000e+03 9.780000e-16 1.836000e+07 1.020000e+07
5.250000e+03 7.620000e+03 8.240000e-16 1.556600e+07 8.600000e+06
5.750000e+03 7.700000e+03 6.930000e-16 1.315860e+07 7.230000e+06
6.250000e+03 7.780000e+03 5.830000e-16 1.118720e+07 6.080000e+06
6.750000e+03 7.870000e+03 4.910000e-16 9.527500e+06 5.150000e+06
7.250000e+03 7.910000e+03 4.130000e-16 8.316800e+06 4.520000e+06
7.750000e+03 7.940000e+03 3.470000e-16 7.480200e+06 4.110000e+06
8.250000e+03 8.020000e+03 2.930000e-16 6.876000e+06 3.820000e+06
8.750000e+03 8.200000e+03 2.460000e-16 6.319000e+06 3.550000e+06
9.250000e+03 8.510000e+03 2.070000e-16 5.755200e+06 3.270000e+06
9.750000e+03 8.950000e+03 1.740000e-16 5.167800e+06 2.970000e+06
1.025000e+04 9.510000e+03 1.470000e-16 4.540800e+06 2.640000e+06
1.075000e+04 1.090000e+04 1.230000e-16 4.268800e+06 2.320000e+06
1.125000e+04 1.160000e+04 1.040000e-16 3.658200e+06 2.010000e+06
1.175000e+04 1.210000e+04 8.740000e-17 3.096000e+06 1.720000e+06
1.225000e+04 1.240000e+04 7.360000e-17 2.595500e+06 1.450000e+06
1.275000e+04 1.270000e+04 6.190000e-17 2.183800e+06 1.220000e+06
1.325000e+04 1.290000e+04 5.200000e-17 1.843700e+06 1.030000e+06
1.375000e+04 1.320000e+04 4.390000e-17 1.553720e+06 8.680000e+05
1.425000e+04 1.350000e+04 3.670000e-17 1.299540e+06 7.260000e+05
1.475000e+04 1.380000e+04 3.090000e-17 1.093690e+06 6.110000e+05
1.525000e+04 1.410000e+04 2.620000e-17 9.254300e+05 5.170000e+05
1.575000e+04 1.440000e+04 2.200000e-17 7.725200e+05 4.340000e+05
1.625000e+04 1.480000e+04 1.850000e-17 6.497000e+05 3.650000e+05
1.675000e+04 1.520000e+04 1.550000e-17 5.464600e+05 3.070000e+05
1.725000e+04 1.560000e+04 1.310000e-17 4.618200e+05 2.580000e+05
1.775000e+04 1.600000e+04 1.100000e-17 3.884300e+05 2.170000e+05
1.825000e+04 1.640000e+04 9.250000e-18 3.275700e+05 1.830000e+05
1.875000e+04 1.690000e+04 7.790000e-18 2.756600e+05 1.540000e+05
1.925000e+04 1.740000e+04 6.540000e-18 2.309100e+05 1.290000e+05
1.975000e+04 1.790000e+04 5.510000e-18 1.951100e+05 1.090000e+05
2.500000e+02 6.960000e+03 4.450000e-15 7.563200e+07 4.640000e+07
7.500000e+02 7.050000e+03 3.840000e-15 6.600000e+07 4.000000e+07
1.250000e+03 7.120000e+03 3.250000e-15 5.712000e+07 3.400000e+07
1.750000e+03 7.200000e+03 2.740000e-15 4.862000e+07 2.860000e+07
2.250000e+03 7.260000e+03 2.320000e-15 4.162400e+07 2.420000e+07
2.750000e+03 7.330000e+03 1.950000e-15 3.532200e+07 2.030000e+07
3.250000e+03 7.380000e+03 1.640000e-15 2.992500e+07 1.710000e+07
3.750000e+03 7.440000e+03 1.380000e-15 2.548800e+07 1.440000e+07
4.250000e+03 7.500000e+03 1.160000e-15 2.153800e+07 1.210000e+07
4.750000e+03 7.560000e+03 9.780000e-16 1.836000e+07 1.020000e+07
5.250000e+03 7.620000e+03 8.240000e-16 1.556600e+07 8.600000e+06
5.750000e+03 7.700000e+03 6.930000e-16 1.315860e+07 7.230000e+06
6.250000e+03 7.780000e+03 5.830000e-16 1.118720e+07 6.080000e+06
6.750000e+03 7.870000e+03 4.910000e-16 9.527500e+06 5.150000e+06
7.250000e+03 7.910000e+03 4.130000e-16 8.316800e+06 4.520000e+06
7.750000e+03 7.940000e+03 3.470000e-16 7.480200e+06 4.110000e+06
8.250000e+03 8.020000e+03 2.930000e-16 6.876000e+06 3.820000e+06
8.750000e+03 8.200000e+03 2.460000e-16 6.319000e+06 3.550000e+06
9.250000e+03 8.510000e+03 2.070000e-16 5.755200e+06 3.270000e+06
9.750000e+03 8.950000e+03 1.740000e-16 5.167800e+06 2.970000e+06
1.025000e+04 9.510000e+03 1.470000e-16 4.540800e+06 2.640000e+06
1.075000e+04 1.090000e+04 1.230000e-16 4.268800e+06 2.320000e+06
1.125000e+04 1.160000e+04 1.040000e-16 3.658200e+06 2.010000e+06
1.175000e+04 1.210000e+04 8.740000e-17 3.096000e+06 1.720000e+06
1.225000e+04 1.240000e+04 7.360000e-17 2.595500e+06 1.450000e+06
1.275000e+04 1.270000e+04 6.190000e-17 2.183800e+06 1.220000e+06
1.325000e+04 1.290000e+04 5.200000e-17 1.843700e+06 1.030000e+06
1.375000e+04 1.320000e+04 4.390000e-17 1.553720e+06 8.680000e+05
1.425000e+04 1.350000e+04 3.670000e-17 1.299540e+06 7.260000e+05
1.475000e+04 1.380000e+04 3.090000e-17 1.093690e+06 6.110000e+05
1.525000e+04 1.410000e+04 2.620000e-17 9.254300e+05 5.170000e+05
1.575000e+04 1.440000e+04 2.200000e-17 7.725200e+05 4.340000e+05
1.625000e+04 1.480000e+04 1.850000e-17 6.497000e+05 3.650000e+05
1.675000e+04 1.520000e+04 1.550000e-17 5.464600e+05 3.070000e+05
1.725000e+04 1.560000e+04 1.310000e-17 4.618200e+05 2.580000e+05
1.775000e+04 1.600000e+04 1.100000e-17 3.884300e+05 2.170000e+05
1.825000e+04 1.640000e+04 9.250000e-18 3.275700e+05 1.830000e+05
1.875000e+04 1.690000e+04 7.790000e-18 2.756600e+05 1.540000e+05
1.925000e+04 1.740000e+04 6.540000e-18 2.309100e+05 1.290000e+05
1.975000e+04 1.790000e+04 5.510000e-18 1.951100e+05 1.090000e+05
2.500000e+02 6.960000e+03 4.450000e-15 7.563200e+07 4.640000e+07
7.500000e+02 7.050000e+03 3.840000e-15 6.600000e+07 4.000000e+07
1.250000e+03 7.120000e+03 3.250000e-15 5.712000e+07 3.400000e+07
1.750000e+03 7.200000e+03 2.740000e-15 4.862000e+07 2.860000e+07
2.250000e+03 7.260000e+03 2.320000e-15 4.162400e+07 2.420000e+07
2.750000e+03 7.330000e+03 1.950000e-15 3.532200e+07 2.030000e+07
3.250000e+03 7.380000e+03 1.640000e-15 2.992500e+07 1.710000e+07
3.750000e+03 7.440000e+03 1.380000e-15 2.548800e+07 1.440000e+07
4.250000e+03 7.500000e+03 1.160000e-15 2.153800e+07 1.210000e+07
4.750000e+03 7.560000e+03 9.780000e-16 1.836000e+07 1.020000e+07
5.250000e+03 7.620000e+03 8.240000e-16 1.556600e+07 8.600000e+06
5.750000e+03 7.700000e+03 6.930000e-16 1.315860e+07 7.230000e+06
6.250000e+03 7.780000e+03 5.830000e-16 1.118720e+07 6.080000e+06
6.750000e+03 7.870000e+03 4.910000e-16 9.527500e+06 5.150000e+06
7.250000e+03 7.910000e+03 4.130000e-16 8.316800e+06 4.520000e+06
7.750000e+03 7.940000e+03 3.470000e-16 7.480200e+06 4.110000e+06
8.250000e+03 8.020000e+03 2.930000e-16 6.876000e+06 3.820000e+06
8.750000e+03 8.200000e+03 2.460000e-16 6.319000e+06 3.550000e+06
9.250000e+03 8.510000e+03 2.070000e-16 5.755200e+06 3.270000e+06
9.750000e+03 8.950000e+03 1.740000e-16 5.167800e+06 2.970000e+06
1.025000e+04 9.510000e+03 1.470000e-16 4.540800e+06 2.640000e+06
1.075000e+04 1.090000e+04 1.230000e-16 4.268800e+06 2.320000e+06
1.125000e+04 1.160000e+04 1.040000e-16 3.658200e+06 2.010000e+06
1.175000e+04 1.210000e+04 8.740000e-17 3.096000e+06 1.720000e+06
1.225000e+04 1.240000e+04 7.360000e-17 2.595500e+06 1.450000e+06
1.275000e+04 1.270000e+04 6.190000e-17 2.183800e+06 1.220000e+06
1.325000e+04 1.290000e+04 5.200000e-17 1.843700e+06 1.030000e+06
1.375000e+04 1.320000e+04 4.390000e-17 1.553720e+06 8.680000e+05
1.425000e+04 1.350000e+04 3.670000e-17 1.299540e+06 7.260000e+05
1.475000e+04 1.380000e+04 3.090000e-17 1.093690e+06 6.110000e+05
1.525000e+04 1.410000e+04 2.620000e-17 9.254300e+05 5.170000e+05
1.575000e+04 1.440000e+04 2.200000e-17 7.725200e+05 4.340000e+05
1.625000e+04 1.480000e+04 1.850000e-17 6.497000e+05 3.650000e+05
1.675000e+04 1.520000e+04 1.550000e-17 5.464600e+05 3.070000e+05
1.725000e+04 1.560000e+04 1.310000e-17 4.618200e+05 2.580000e+05
1.775000e+04 1.600000e+04 1.100000e-17 3.884300e+05 2.170000e+05
1.825000e+04 1.640000e+04 9.250000e-18 3.275700e+05 1.830000e+05
1.875000e+04 1.690000e+04 7.790000e-18 2.756600e+05 1.540000e+05
1.925000e+04 1.740000e+04 6.540000e-18 2.309100e+05 1.290000e+05
1.975000e+04 1.790000e+04 5.510000e-18 1.951100e+05 1.090000e+05
2.500000e+02 6.960000e+03 4.450000e-15 7.563200e+07 4.640000e+07
7.500000e+02 7.050000e+03 3.840000e-15 6.600000e+07 4.000000e+07
1.250000e+03 7.120000e+03 3.250000e-15 5.712000e+07 3.400000e+07
1.750000e+03 7.200000e+03 2.740000e-15 4.862000e+07 2.860000e+07
2.250000e+03 7.260000e+03 2.320000e-15 4.162400e+07 2.420000e+07
2.750000e+03 7.330000e+03 1.950000e-15 3.532200e+07 2.030000e+07
3.250000e+03 7.380000e+03 1.640000e-15 2.992500e+07 1.710000e+07
3.750000e+03 7.440000e+03 1.380000e-15 2.548800e+07 1.440000e+07
4.250000e+03 7.500000e+03 1.160000e-15 2.153800e+07 1.210000e+07
4.750000e+03 7.560000e+03 9.780000e-16 1.836000e+07 1.020000e+07
5.250000e+03 7.620000e+03 8.240000e-16 1.556600e+07 8.600000e+06
5.750000e+03 7.700000e+03 6.930000e-16 1.315860e+07 7.230000e+06
6.250000e+03 7.780000e+03 5.830000e-16 1.118720e+07 6.080000e+06
6.750000e+03 7.870000e+03 4.910000e-16 9.527500e+06 5.150000e+06
7.250000e+03 7.910000e+03 4.130000e-16 8.316800e+06 4.520000e+06
7.750000e+03 7.940000e+03 3.470000e-16 7.480200e+06 4.110000e+06
8.250000e+03 8.020000e+03 2.930000e-16 6.876000e+06 3.820000e+06
8.750000e+03 8.200000e+03 2.460000e-16 6.319000e+06 3.550000e+06
9.250000e+03 8.510000e+03 2.070000e-16 5.755200e+06 3.270000e+06
9.750000e+03 8.950000e+03 1.740000e-16 5.167800e+06 2.970000e+06
1.025000e+04 9.510000e+03 1.470000e-16 4.540800e+06 2.640000e+06
1.075000e+04 1.090000e+04 1.230000e-16 4.268800e+06 2.320000e+06
1.125000e+04 1.160000e+04 1.040000e-16 3.658200e+06 2.010000e+06
1.175000e+04 1.210000e+04 8.740000e-17 3.096000e+06 1.720000e+06
1.225000e+04 1.240000e+04 7.360000e-17 2.595500e+06 1.450000e+06
1.275000e+04 1.270000e+04 6.190000e-17 2.183800e+06 1.220000e+06
1.325000e+04 1.290000e+04 5.200000e-17 1.843700e+06 1.030000e+06
1.375000e+04 1.320000e+04 4.390000e-17 1.553720e+06 8.680000e+05
1.425000e+04 1.350000e+04 3.670000e-17 1.299540e+06 7.260000e+05
1.475000e+04 1.380000e+04 3.090000e-17 1.093690e+06 6.110000e+05
1.525000e+04 1.410000e+04 2.620000e-17 9.254300e+05 5.170000e+05
1.575000e+04 1.440000e+04 2.200000e-17 7.725200e+05 4.340000e+05
1.625000e+04 1.480000e+04 1.850000e-17 6.497000e+05 3.650000e+05
1.675000e+04 1.520000e+04 1.550000e-17 5.464600e+05 3.070000e+05
1.725000e+04 1.560000e+04 1.310000e-17 4.618200e+05 2.580000e+05
1.775000e+04 1.600000e+04 1.100000e-17 3.884300e+05 2.170000e+05
1.825000e+04 1.640000e+04 9.250000e-18 3.275700e+05 1.830000e+05
1.875000e+04 1.690000e+04 7.790000e-18 2.756600e+05 1.540000e+05
1.925000e+04 1.740000e+04 6.540000e-18 2.309100e+05 1.290000e+05
1.975000e+04 1.790000e+04 5.510000e-18 1.951100e+05 1.090000e+05
2.500000e+02 6.960000e+03 4.450000e-15 7.563200e+07 4.640000e+07
7.500000e+02 7.050000e+03 3.840000e-15 6.600000e+07 4.000000e+07
1.250000e+03 7.120000e+03 3.250000e-15 5.712000e+07 3.400000e+07
1.750000e+03 7.200000e+03 2.740000e-15 4.862000e+07 2.860000e+07
2.250000e+03 7.260000e+03 2.320000e-15 4.162400e+07 2.420000e+07
2.750000e+03 7.330000e+03 1.950000e-15 3.532200e+07 2.030000e+07
3.250000e+03 7.380000e+03 1.640000e-15 2.992500e+07 1.710000e+07
3.750000e+03 7.440000e+03 1.380000e-15 2.548800e+07 1.440000e+07
4.250000e+03 7.500000e+03 1.160000e-15 2.153800e+07 1.210000e+07
4.750000e+03 7.560000e+03 9.780000e-16 1.836000e+07 1.020000e+07
5.250000e+03 7.620000e+03 8.240000e-16 1.556600e+07 8.600000e+06
5.750000e+03 7.700000e+03 6.930000e-16 1.315860e+07 7.230000e+06
6.250000e+03 7.780000e+03 5.830000e-16 1.118720e+07 6.080000e+06
6.750000e+03 7.870000e+03 4.910000e-16 9.527500e+06 5.150000e+06
7.250000e+03 7.910000e+03 4.130000e-16 8.316800e+06 4.520000e+06
7.750000e+03 7.940000e+03 3.470000e-16 7.480200e+06 4.110000e+06
8.250000e+03 8.020000e+03 2.930000e-16 6.876000e+06 3.820000e+06
8.750000e+03 8.200000e+03 2.460000e-16 6.319000e+06 3.550000e+06
9.250000e+03 8.510000e+03 2.070000e-16 5.755200e+06 3.270000e+06
9.750000e+03 8.950000e+03 1.740000e-16 5.167800e+06 2.970000e+06
1.025000e+04 9.510000e+03 1.470000e-16 4.540800e+06 2.640000e+06
1.075000e+04 1.090000e+04 1.230000e-16 4.268800e+06 2.320000e+06
1.125000e+04 1.160000e+04 1.040000e-16 3.658200e+06 2.010000e+06
1.175000e+04 1.210000e+04 8.740000e-17 3.096000e+06 1.720000e+06
1.225000e+04 1.240000e+04 7.360000e-17 2.595500e+06 1.450000e+06
1.275000e+04 1.270000e+04 6.190000e-17 2.183800e+06 1.220000e+06
1.325000e+04 1.290000e+04 5.200000e-17 1.843700e+06 1.030000e+06
1.375000e+04 1.320000e+04 4.390000e-17 1.553720e+06 8.680000e+05
1.425000e+04 1.350000e+04 3.670000e-17 1.299540e+06 7.260000e+05
1.475000e+04 1.380000e+04 3.090000e-17 1.093690e+06 6.110000e+05
1.525000e+04 1.410000e+04 2.620000e-17 9.254300e+05 5.170000e+05
1.575000e+04 1.440000e+04 2.200000e-17 7.725200e+05 4.340000e+05
1.625000e+04 1.480000e+04 1.850000e-17 6.497000e+05 3.650000e+05
1.675000e+04 1.520000e+04 1.550000e-17 5.464600e+05 3.070000e+05
1.725000e+04 1.560000e+04 1.310000e-17 4.618200e+05 2.580000e+05
1.775000e+04 1.600000e+04 1.100000e-17 3.884300e+05 2.170000e+05
1.825000e+04 1.640000e+04 9.250000e-18 3.275700e+05 1.830000e+05
1.875000e+04 1.690000e+04 7.790000e-18 2.756600e+05 1.540000e+05
1.925000e+04 1.740000e+04 6.540000e-18 2.309100e+05 1.290000e+05
1.975000e+04 1.790000e+04 5.510000e-18 1.951100e+05 1.090000e+05
2.500000e+02 6.960000e+03 4.450000e-15 7.563200e+07 4.640000e+07
7.500000e+02 7.050000e+03 3.840000e-15 6.600000e+07 4.000000e+07
1.250000e+03 7.120000e+03 3.250000e-15 5.712000e+07 3.400000e+07
1.750000e+03 7.200000e+03 2.740000e-15 4.862000e+07 2.860000e+07
2.250000e+03 7.260000e+03 2.320000e-15 4.162400e+07 2.420000e+07
2.750000e+03 7.330000e+03 1.950000e-15 3.532200e+07 2.030000e+07
3.250000e+03 7.380000e+03 1.640000e-15 2.992500e+07 1.710000e+07
3.750000e+03 7.440000e+03 1.380000e-15 2.548800e+07 1.440000e+07
4.250000e+03 7.500000e+03 1.160000e-15 2.153800e+07 1.210000e+07
4.750000e+03 7.560000e+03 9.780000e-16 1.836000e+07 1.020000e+07
5.250000e+03 7.620000e+03 8.240000e-16 1.556600e+07 8.600000e+06
5.750000e+03 7.700000e+03 6.930000e-16 1.315860e+07 7.230000e+06
6.250000e+03 7.780000e+03 5.830000e-16 1.118720e+07 6.080000e+06
6.750000e+03 7.870000e+03 4.910000e-16 9.527500e+06 5.150000e+06
7.250000e+03 7.910000e+03 4.130000e-16 8.316800e+06 4.520000e+06
7.750000e+03 7.940000e+03 3.470000e-16 7.480200e+06 4.110000e+06
8.250000e+03 8.020000e+03 2.930000e-16 6.876000e+06 3.820000e+06
8.750000e+03 8.200000e+03 2.460000e-16 6.319000e+06 3.550000e+06
9.250000e+03 8.510000e+03 2.070000e-16 5.755200e+06 3.270000e+06
9.750000e+03 8.950000e+03 1.740000e-16 5.167800e+06 2.970000e+06
1.025000e+04 9.510000e+03 1.470000e-16 4.540800e+06 2.640000e+06
1.075000e+04 1.090000e+04 1.230000e-16 4.268800e+06 2.320000e+06
1.125000e+04 1.160000e+04 1.040000e-16 3.658200e+06 2.010000e+06
1.175000e+04 1.210000e+04 8.740000e-17 3.096000e+06 1.720000e+06
1.225000e+04 1.240000e+04 7.360000e-17 2.595500e+06 1.450000e+06
1.275000e+04 1.270000e+04 6.190000e-17 2.183800e+06 1.220000e+06
1.325000e+04 1.290000e+04 5.200000e-17 1.843700e+06 1.030000e+06
1.375000e+04 1.320000e+04 4.390000e-17 1.553720e+06 8.680000e+05
1.425000e+04 1.350000e+04 3.670000e-17 1.299540e+06 7.260000e+05
1.475000e+04 1.380000e+04 3.090000e-17 1.093690e+06 6.110000e+05
1.525000e+04 1.410000e+04 2.620000e-17 9.254300e+05 5.170000e+05
1.575000e+04 1.440000e+04 2.200000e-17 7.725200e+05 4.340000e+05
1.625000e+04 1.480000e+04 1.850000e-17 6.497000e+05 3.650000e+05
1.675000e+04 1.520000e+04 1.550000e-17 5.464600e+05 3.070000e+05
1.725000e+04 1.560000e+04 1.310000e-17 4.618200e+05 2.580000e+05
1.775000e+04 1.600000e+04 1.100000e-17 3.884300e+05 2.170000e+05
1.825000e+04 1.640000e+04 9.250000e-18 3.275700e+05 1.830000e+05
1.875000e+04 1.690000e+04 7.790000e-18 2.756600e+05 1.540000e+05
1.925000e+04 1.740000e+04 6.540000e-18 2.309100e+05 1.290000e+05
1.975000e+04 1.790000e+04 5.510000e-18 1.951100e+05 1.090000e+05
2.500000e+02 6.960000e+03 4.450000e-15 7.563200e+07 4.640000e+07
7.500000e+02 7.050000e+03 3.840000e-15 6.600000e+07 4.000000e+07
1.250000e+03 7.120000e+03 3.250000e-15 5.712000e+07 3.400000e+07
1.750000e+03 7.200000e+03 2.740000e-15 4.862000e+07 2.860000e+07
2.250000e+03 7.260000e+03 2.320000e-15 4.162400e+07 2.420000e+07
2.750000e+03 7.330000e+03 1.950000e-15 3.532200e+07 2.030000e+07
3.250000e+03 7.380000e+03 1.640000e-15 2.992500e+07 1.710000e+07
3.750000e+03 7.440000e+03 1.380000e-15 2.548800e+07 1.440000e+07
4.250000e+03 7.500000e+03 1.160000e-15 2.153800e+07 1.210000e+07
4.750000e+03 7.560000e+03 9.780000e-16 1.836000e+07 1.020000e+07
5.250000e+03 7.620000e+03 8.240000e-16 1.556600e+07 8.600000e+06
5.750000e+03 7.700000e+03 6.930000e-16 1.315860e+07 7.230000e+06
6.250000e+03 7.780000e+03 5.830000e-16 1.118720e+07 6.080000e+06
6.750000e+03 7.870000e+03 4.910000e-16 9.527500e+06 5.150000e+06
7.250000e+03 7.910000e+03 4.130000e-16 8.316800e+06 4.520000e+06
7.750000e+03 7.940000e+03 3.470000e-16 7.480200e+06 4.110000e+06
8.250000e+03 8.020000e+03 2.930000e-16 6.876000e+06 3.820000e+06
8.750000e+03 8.200000e+03 2.460000e-16 6.319000e+06 3.550000e+06
9.250000e+03 8.510000e+03 2.070000e-16 5.755200e+06 3.270000e+06
9.750000e+03 8.950000e+03 1.740000e-16 5.167800e+06 2.970000e+06
1.025000e+04 9.510000e+03 1.470000e-16 4.540800e+06 2.640000e+06
1.075000e+04 1.090000e+04 1.230000e-16 4.268800e+06 2.320000e+06
1.125000e+04 1.160000e+04 1.040000e-16 3.658200e+06 2.010000e+06
1.175000e+04 1.210000e+04 8.740000e-17 3.096000e+06 1.720000e+06
1.225000e+04 1.240000e+04 7.360000e-17 2.595500e+06 1.450000e+06
1.275000e+04 1.270000e+04 6.190000e-17 2.183800e+06 1.220000e+06
1.325000e+04 1.290000e+04 5.200000e-17 1.843700e+06 1.030000e+06
1.375000e+04 1.320000e+04 4.390000e-17 1.553720e+06 8.680000e+05
1.425000e+04 1.350000e+04 3.670000e-17 1.299540e+06 7.260000e+05
1.475000e+04 1.380000e+04 3.090000e-17 1.093690e+06 6.110000e+05
1.525000e+04 1.410000e+04 2.620000e-17 9.254300e+05 5.170000e+05
1.575000e+04 1.440000e+04 2.200000e-17 7.725200e+05 4.340000e+05
1.625000e+04 1.480000e+04 1.850000e-17 6.497000e+05 3.650000e+05
1.675000e+04 1.520000e+04 1.550000e-17 5.464600e+05 3.070000e+05
1.725000e+04 1.560000e+04 1.310000e-17 4.618200e+05 2.580000e+05
1.775000e+04 1.600000e+04 1.100000e-17 3.884300e+05 2.170000e+05
1.825000e+04 1.640000e+04 9.250000e-18 3.275700e+05 1.830000e+05
1.875000e+04 1.690000e+04 7.790000e-18 2.756600e+05 1.540000e+05
1.925000e+04 1.740000e+04 6.540000e-18 2.309100e+05 1.290000e+05
1.975000e+04 1.790000e+04 5.510000e-18 1.951100e+05 1.090000e+05
2.500000e+02 6.960000e+03 4.450000e-15 7.563200e+07 4.640000e+07
7.500000e+02 7.050000e+03 3.840000e-15 6.600000e+07 4.000000e+07
1.250000e+03 7.120000e+03 3.250000e-15 5.712000e+07 3.400000e+07
1.750000e+03 7.200000e+03 2.740000e-15 4.862000e+07 2.860000e+07
2.250000e+03 7.260000e+03 2.320000e-15 4.162400e+07 2.420000e+07
2.750000e+03 7.330000e+03 1.950000e-15 3.532200e+07 2.030000e+07
3.250000e+03 7.380000e+03 1.640000e-15 2.992500e+07 1.710000e+07
3.750000e+03 7.440000e+03 1.380000e-15 2.548800e+07 1.440000e+07
4.250000e+03 7.500000e+03 1.160000e-15 2.153800e+07 1.210000e+07
4.750000e+03 7.560000e+03 9.780000e-16 1.836000e+07 1.020000e+07
5.250000e+03 7.620000e+03 8.240000e-16 1.556600e+07 8.600000e+06
5.750000e+03 7.700000e+03 6.930000e-16 1.315860e+07 7.230000e+06
6.250000e+03 7.780000e+03 5.830000e-16 1.118720e+07 6.080000e+06
6.750000e+03 7.870000e+03 4.910000e-16 9.527500e+06 5.150000e+06
7.250000e+03 7.910000e+03 4.130000e-16 8.316800e+06 4.520000e+06
7.750000e+03 7.940000e+03 3.470000e-16 7.480200e+06 4.110000e+06
8.250000e+03 8.020000e+03 2.930000e-16 6.876000e+06 3.820000e+06
8.750000e+03 8.200000e+03 2.460000e-16 6.319000e+06 3.550000e+06
9.250000e+03 8.510000e+03 2.070000e-16 5.755200e+06 3.270000e+06
9.750000e+03 8.950000e+03 1.740000e-16 5.167800e+06 2.970000e+06
1.025000e+04 9.510000e+03 1.470000e-16 4.540800e+06 2.640000e+06
1.075000e+04 1.090000e+04 1.230000e-16 4.268800e+06 2.320000e+06
1.125000e+04 1.160000e+04 1.040000e-16 3.658200e+06 2.010000e+06
1.175000e+04 1.210000e+04 8.740000e-17 3.096000e+06 1.720000e+06
1.225000e+04 1.240000e+04 7.360000e-17 2.595500e+06 1.450000e+06
1.275000e+04 1.270000e+04 6.190000e-17 2.183800e+06 1.220000e+06
1.325000e+04 1.290000e+04 5.200000e-17 1.843700e+06 1.030000e+06
1.375000e+04 1.320000e+04 4.390000e-17 1.553720e+06 8.680000e+05
1.425000e+04 1.350000e+04 3.670000e-17 1.299540e+06 7.260000e+05
1.475000e+04 1.380000e+04 3.090000e-17 1.093690e+06 6.110000e+05
1.525000e+04 1.410000e+04 2.620000e-17 9.254300e+05 5.170000e+05
1.575000e+04 1.440000e+04 2.200000e-17 7.725200e+05 4.340000e+05
1.625000e+04 1.480000e+04 1.850000e-17 6.497000e+05 3.650000e+05
1.675000e+04 1.520000e+04 1.550000e-17 5.464600e+05 3.070000e+05
1.725000e+04 1.560000e+04 1.310000e-17 4.618200e+05 2.580000e+05
1.775000e+04 1.600000e+04 1.100000e-17 3.884300e+05 2.170000e+05
1.825000e+04 1.640000e+04 9.250000e-18 3.275700e+05 1.830000e+05
1.875000e+04 1.690000e+04 7.790000e-18 2.756600e+05 1.540000e+05
1.925000e+04 1.740000e+04 6.540000e-18 2.309100e+05 1.290000e+05
1.975000e+04 1.790000e+04 5.510000e-18 1.951100e+05 1.090000e+05
2.500000e+02 6.960000e+03 4.450000e-15 7.563200e+07 4.640000e+07
7.500000e+02 7.050000e+03 3.840000e-15 6.600000e+07 4.000000e+07
1.250000e+03 7.120000e+03 3.250000e-15 5.712000e+07 3.400000e+07
1.750000e+03 7.200000e+03 2.740000e-15 4.862000e+07 2.860000e+07
2.250000e+03 7.260000e+03 2.320000e-15 4.162400e+07 2.420000e+07
2.750000e+03 7.330000e+03 1.950000e-15 3.532200e+07 2.030000e+07
3.250000e+03 7.380000e+03 1.640000e-15 2.992500e+07 1.710000e+07
3.750000e+03 7.440000e+03 1.380000e-15 2.548800e+07 1.440000e+07
4.250000e+03 7.500000e+03 1.160000e-15 2.153800e+07 1.210000e+07
4.750000e+03 7.560000e+03 9.780000e-16 1.836000e+07 1.020000e+07
