#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] Co0 Co1 Co2 Co3 Co4 Co5 Co6 Co7
2.992500E+04 0 0 0 0 0 0 0 0
2.997500E+04 0 0 0 0 0 0 0 0
3.002500E+04 0 0 0 0 0 0 0 0
3.007500E+04 0 0 0 0 0 0 0 0
3.012500E+04 0 0 0 0 0 0 0 0
3.017500E+04 0 0 0 0 0 0 0 0
3.022500E+04 0 0 0 0 0 0 0 0
3.027500E+04 0 0 0 0 0 0 0 0
3.032500E+04 0 0 0 0 0 0 0 0
3.037500E+04 0 0 0 0 0 0 0 0
3.042500E+04 0 0 0 0 0 0 0 0
3.047500E+04 0 0 0 0 0 0 0 0
3.052500E+04 0 0 0 0 0 0 0 0
3.057500E+04 0 0 0 0 0 0 0 0
3.062500E+04 0 0 0 0 0 0 0 0
3.067500E+04 0 0 0 0 0 0 0 0
3.072500E+04 0 0 0 0 0 0 0 0
3.077500E+04 0 0 0 0 0 0 0 0
3.082500E+04 0 0 0 0 0 0 0 0
3.087500E+04 0 0 0 0 0 0 0 0
3.092500E+04 0 0 0 0 0 0 0 0
3.097500E+04 0 0 0 0 0 0 0 0
3.102500E+04 0 0 0 0 0 0 0 0
3.107500E+04 0 0 0 0 0 0 0 0
3.112500E+04 0 0 0 0 0 0 0 0
3.117500E+04 0 0 0 0 0 0 0 0
3.122500E+04 0 0 0 0 0 0 0 0
3.127500E+04 0 0 0 0 0 0 0 0
3.132500E+04 0 0 0 0 0 0 0 0
3.137500E+04 0 0 0 0 0 0 0 0
3.142500E+04 0 0 0 0 0 0 0 0
3.147500E+04 0 0 0 0 0 0 0 0
3.152500E+04 0 0 0 0 0 0 0 0
3.157500E+04 0 0 0 0 0 0 0 0
3.162500E+04 0 0 0 0 0 0 0 0
3.167500E+04 0 0 0 0 0 0 0 0
3.172500E+04 0 0 0 0 0 0 0 0
3.177500E+04 0 0 0 0 0 0 0 0
3.182500E+04 0 0 0 0 0 0 0 0
3.187500E+04 0 0 0 0 0 0 0 0
3.192500E+04 0 0 0 0 0 0 0 0
3.197500E+04 0 0 0 0 0 0 0 0
3.202500E+04 0 0 0 0 0 0 0 0
3.207500E+04 0 0 0 0 0 0 0 0
3.212500E+04 0 0 0 0 0 0 0 0
3.217500E+04 0 0 0 0 0 0 0 0
3.222500E+04 0 0 0 0 0 0 0 0
3.227500E+04 0 0 0 0 0 0 0 0
3.232500E+04 0 0 0 0 0 0 0 0
3.237500E+04 0 0 0 0 0 0 0 0
3.242500E+04 0 0 0 0 0 0 0 0
3.247500E+04 0 0 0 0 0 0 0 0
3.252500E+04 0 0 0 0 0 0 0 0
3.257500E+04 0 0 0 0 0 0 0 0
3.262500E+04 0 0 0 0 0 0 0 0
3.267500E+04 0 0 0 0 0 0 0 0
3.272500E+04 0 0 0 0 0 0 0 0
3.277500E+04 0 0 0 0 0 0 0 0
3.282500E+04 0 0 0 0 0 0 0 0
3.287500E+04 0 0 0 0 0 0 0 0
3.292500E+04 0 0 0 0 0 0 0 0
3.297500E+04 0 0 0 0 0 0 0 0
3.302500E+04 0 0 0 0 0 0 0 0
3.307500E+04 0 0 0 0 0 0 0 0
3.312500E+04 0 0 0 0 0 0 0 0
3.317500E+04 0 0 0 0 0 0 0 0
3.322500E+04 0 0 0 0 0 0 0 0
3.327500E+04 0 0 0 0 0 0 0 0
3.332500E+04 0 0 0 0 0 0 0 0
3.337500E+04 0 0 0 0 0 0 0 0
3.342500E+04 0 0 0 0 0 0 0 0
3.347500E+04 0 0 0 0 0 0 0 0
3.352500E+04 0 0 0 0 0 0 0 0
3.357500E+04 0 0 0 0 0 0 0 0
3.362500E+04 0 0 0 0 0 0 0 0
3.367500E+04 0 0 0 0 0 0 0 0
3.372500E+04 0 0 0 0 0 0 0 0
3.377500E+04 0 0 0 0 0 0 0 0
3.382500E+04 0 0 0 0 0 0 0 0
3.387500E+04 0 0 0 0 0 0 0 0
3.392500E+04 0 0 0 0 0 0 0 0
3.397500E+04 0 0 0 0 0 0 0 0
3.402500E+04 0 0 0 0 0 0 0 0
3.407500E+04 0 0 0 0 0 0 0 0
3.412500E+04 0 0 0 0 0 0 0 0
3.417500E+04 0 0 0 0 0 0 0 0
3.422500E+04 0 0 0 0 0 0 0 0
3.427500E+04 0 0 0 0 0 0 0 0
3.432500E+04 0 0 0 0 0 0 0 0
3.437500E+04 0 0 0 0 0 0 0 0
3.442500E+04 0 0 0 0 0 0 0 0
3.447500E+04 0 0 0 0 0 0 0 0
3.452500E+04 0 0 0 0 0 0 0 0
3.457500E+04 0 0 0 0 0 0 0 0
3.462500E+04 0 0 0 0 0 0 0 0
3.467500E+04 0 0 0 0 0 0 0 0
3.472500E+04 0 0 0 0 0 0 0 0
3.477500E+04 0 0 0 0 0 0 0 0
3.482500E+04 0 0 0 0 0 0 0 0
3.487500E+04 0 0 0 0 0 0 0 0
3.492500E+04 0 0 0 0 0 0 0 0
3.497500E+04 0 0 0 0 0 0 0 0
#
#TIME: 10.0
#NVEL: 360
#vel_mid[km/s] Co0 Co1 Co2 Co3 Co4 Co5 Co6 Co7
1.702500E+04 0 0 0 0 0 0 0 0
1.707500E+04 0 0 0 0 0 0 0 0
1.712500E+04 0 0 0 0 0 0 0 0
1.717500E+04 0 0 0 0 0 0 0 0
1.722500E+04 0 0 0 0 0 0 0 0
1.727500E+04 0 0 0 0 0 0 0 0
1.732500E+04 0 0 0 0 0 0 0 0
1.737500E+04 0 0 0 0 0 0 0 0
1.742500E+04 0 0 0 0 0 0 0 0
1.747500E+04 0 0 0 0 0 0 0 0
1.752500E+04 0 0 0 0 0 0 0 0
1.757500E+04 0 0 0 0 0 0 0 0
1.762500E+04 0 0 0 0 0 0 0 0
1.767500E+04 0 0 0 0 0 0 0 0
1.772500E+04 0 0 0 0 0 0 0 0
1.777500E+04 0 0 0 0 0 0 0 0
1.782500E+04 0 0 0 0 0 0 0 0
1.787500E+04 0 0 0 0 0 0 0 0
1.792500E+04 0 0 0 0 0 0 0 0
1.797500E+04 0 0 0 0 0 0 0 0
1.802500E+04 0 0 0 0 0 0 0 0
1.807500E+04 0 0 0 0 0 0 0 0
1.812500E+04 0 0 0 0 0 0 0 0
1.817500E+04 0 0 0 0 0 0 0 0
1.822500E+04 0 0 0 0 0 0 0 0
1.827500E+04 0 0 0 0 0 0 0 0
1.832500E+04 0 0 0 0 0 0 0 0
1.837500E+04 0 0 0 0 0 0 0 0
1.842500E+04 0 0 0 0 0 0 0 0
1.847500E+04 0 0 0 0 0 0 0 0
1.852500E+04 0 0 0 0 0 0 0 0
1.857500E+04 0 0 0 0 0 0 0 0
1.862500E+04 0 0 0 0 0 0 0 0
1.867500E+04 0 0 0 0 0 0 0 0
1.872500E+04 0 0 0 0 0 0 0 0
1.877500E+04 0 0 0 0 0 0 0 0
1.882500E+04 0 0 0 0 0 0 0 0
1.887500E+04 0 0 0 0 0 0 0 0
1.892500E+04 0 0 0 0 0 0 0 0
1.897500E+04 0 0 0 0 0 0 0 0
1.902500E+04 0 0 0 0 0 0 0 0
1.907500E+04 0 0 0 0 0 0 0 0
1.912500E+04 0 0 0 0 0 0 0 0
1.917500E+04 0 0 0 0 0 0 0 0
1.922500E+04 0 0 0 0 0 0 0 0
1.927500E+04 0 0 0 0 0 0 0 0
1.932500E+04 0 0 0 0 0 0 0 0
1.937500E+04 0 0 0 0 0 0 0 0
1.942500E+04 0 0 0 0 0 0 0 0
1.947500E+04 0 0 0 0 0 0 0 0
1.952500E+04 0 0 0 0 0 0 0 0
1.957500E+04 0 0 0 0 0 0 0 0
1.962500E+04 0 0 0 0 0 0 0 0
1.967500E+04 0 0 0 0 0 0 0 0
1.972500E+04 0 0 0 0 0 0 0 0
1.977500E+04 0 0 0 0 0 0 0 0
1.982500E+04 0 0 0 0 0 0 0 0
1.987500E+04 0 0 0 0 0 0 0 0
1.992500E+04 0 0 0 0 0 0 0 0
1.997500E+04 0 0 0 0 0 0 0 0
2.002500E+04 0 0 0 0 0 0 0 0
2.007500E+04 0 0 0 0 0 0 0 0
2.012500E+04 0 0 0 0 0 0 0 0
2.017500E+04 0 0 0 0 0 0 0 0
2.022500E+04 0 0 0 0 0 0 0 0
2.027500E+04 0 0 0 0 0 0 0 0
2.032500E+04 0 0 0 0 0 0 0 0
2.037500E+04 0 0 0 0 0 0 0 0
2.042500E+04 0 0 0 0 0 0 0 0
2.047500E+04 0 0 0 0 0 0 0 0
2.052500E+04 0 0 0 0 0 0 0 0
2.057500E+04 0 0 0 0 0 0 0 0
2.062500E+04 0 0 0 0 0 0 0 0
2.067500E+04 0 0 0 0 0 0 0 0
2.072500E+04 0 0 0 0 0 0 0 0
2.077500E+04 0 0 0 0 0 0 0 0
2.082500E+04 0 0 0 0 0 0 0 0
2.087500E+04 0 0 0 0 0 0 0 0
2.092500E+04 0 0 0 0 0 0 0 0
2.097500E+04 0 0 0 0 0 0 0 0
2.102500E+04 0 0 0 0 0 0 0 0
2.107500E+04 0 0 0 0 0 0 0 0
2.112500E+04 0 0 0 0 0 0 0 0
2.117500E+04 0 0 0 0 0 0 0 0
2.122500E+04 0 0 0 0 0 0 0 0
2.127500E+04 0 0 0 0 0 0 0 0
2.132500E+04 0 0 0 0 0 0 0 0
2.137500E+04 0 0 0 0 0 0 0 0
2.142500E+04 0 0 0 0 0 0 0 0
2.147500E+04 0 0 0 0 0 0 0 0
2.152500E+04 0 0 0 0 0 0 0 0
2.157500E+04 0 0 0 0 0 0 0 0
2.162500E+04 0 0 0 0 0 0 0 0
2.167500E+04 0 0 0 0 0 0 0 0
2.172500E+04 0 0 0 0 0 0 0 0
2.177500E+04 0 0 0 0 0 0 0 0
2.182500E+04 0 0 0 0 0 0 0 0
2.187500E+04 0 0 0 0 0 0 0 0
2.192500E+04 0 0 0 0 0 0 0 0
2.197500E+04 0 0 0 0 0 0 0 0
2.202500E+04 0 0 0 0 0 0 0 0
2.207500E+04 0 0 0 0 0 0 0 0
2.212500E+04 0 0 0 0 0 0 0 0
2.217500E+04 0 0 0 0 0 0 0 0
2.222500E+04 0 0 0 0 0 0 0 0
2.227500E+04 0 0 0 0 0 0 0 0
2.232500E+04 0 0 0 0 0 0 0 0
2.237500E+04 0 0 0 0 0 0 0 0
2.242500E+04 0 0 0 0 0 0 0 0
2.247500E+04 0 0 0 0 0 0 0 0
2.252500E+04 0 0 0 0 0 0 0 0
2.257500E+04 0 0 0 0 0 0 0 0
2.262500E+04 0 0 0 0 0 0 0 0
2.267500E+04 0 0 0 0 0 0 0 0
2.272500E+04 0 0 0 0 0 0 0 0
2.277500E+04 0 0 0 0 0 0 0 0
2.282500E+04 0 0 0 0 0 0 0 0
2.287500E+04 0 0 0 0 0 0 0 0
2.292500E+04 0 0 0 0 0 0 0 0
2.297500E+04 0 0 0 0 0 0 0 0
2.302500E+04 0 0 0 0 0 0 0 0
2.307500E+04 0 0 0 0 0 0 0 0
2.312500E+04 0 0 0 0 0 0 0 0
2.317500E+04 0 0 0 0 0 0 0 0
2.322500E+04 0 0 0 0 0 0 0 0
2.327500E+04 0 0 0 0 0 0 0 0
2.332500E+04 0 0 0 0 0 0 0 0
2.337500E+04 0 0 0 0 0 0 0 0
2.342500E+04 0 0 0 0 0 0 0 0
2.347500E+04 0 0 0 0 0 0 0 0
2.352500E+04 0 0 0 0 0 0 0 0
2.357500E+04 0 0 0 0 0 0 0 0
2.362500E+04 0 0 0 0 0 0 0 0
2.367500E+04 0 0 0 0 0 0 0 0
2.372500E+04 0 0 0 0 0 0 0 0
2.377500E+04 0 0 0 0 0 0 0 0
2.382500E+04 0 0 0 0 0 0 0 0
2.387500E+04 0 0 0 0 0 0 0 0
2.392500E+04 0 0 0 0 0 0 0 0
2.397500E+04 0 0 0 0 0 0 0 0
2.402500E+04 0 0 0 0 0 0 0 0
2.407500E+04 0 0 0 0 0 0 0 0
2.412500E+04 0 0 0 0 0 0 0 0
2.417500E+04 0 0 0 0 0 0 0 0
2.422500E+04 0 0 0 0 0 0 0 0
2.427500E+04 0 0 0 0 0 0 0 0
2.432500E+04 0 0 0 0 0 0 0 0
2.437500E+04 0 0 0 0 0 0 0 0
2.442500E+04 0 0 0 0 0 0 0 0
2.447500E+04 0 0 0 0 0 0 0 0
2.452500E+04 0 0 0 0 0 0 0 0
2.457500E+04 0 0 0 0 0 0 0 0
2.462500E+04 0 0 0 0 0 0 0 0
2.467500E+04 0 0 0 0 0 0 0 0
2.472500E+04 0 0 0 0 0 0 0 0
2.477500E+04 0 0 0 0 0 0 0 0
2.482500E+04 0 0 0 0 0 0 0 0
2.487500E+04 0 0 0 0 0 0 0 0
2.492500E+04 0 0 0 0 0 0 0 0
2.497500E+04 0 0 0 0 0 0 0 0
2.502500E+04 0 0 0 0 0 0 0 0
2.507500E+04 0 0 0 0 0 0 0 0
2.512500E+04 0 0 0 0 0 0 0 0
2.517500E+04 0 0 0 0 0 0 0 0
2.522500E+04 0 0 0 0 0 0 0 0
2.527500E+04 0 0 0 0 0 0 0 0
2.532500E+04 0 0 0 0 0 0 0 0
2.537500E+04 0 0 0 0 0 0 0 0
2.542500E+04 0 0 0 0 0 0 0 0
2.547500E+04 0 0 0 0 0 0 0 0
2.552500E+04 0 0 0 0 0 0 0 0
2.557500E+04 0 0 0 0 0 0 0 0
2.562500E+04 0 0 0 0 0 0 0 0
2.567500E+04 0 0 0 0 0 0 0 0
2.572500E+04 0 0 0 0 0 0 0 0
2.577500E+04 0 0 0 0 0 0 0 0
2.582500E+04 0 0 0 0 0 0 0 0
2.587500E+04 0 0 0 0 0 0 0 0
2.592500E+04 0 0 0 0 0 0 0 0
2.597500E+04 0 0 0 0 0 0 0 0
2.602500E+04 0 0 0 0 0 0 0 0
2.607500E+04 0 0 0 0 0 0 0 0
2.612500E+04 0 0 0 0 0 0 0 0
2.617500E+04 0 0 0 0 0 0 0 0
2.622500E+04 0 0 0 0 0 0 0 0
2.627500E+04 0 0 0 0 0 0 0 0
2.632500E+04 0 0 0 0 0 0 0 0
2.637500E+04 0 0 0 0 0 0 0 0
2.642500E+04 0 0 0 0 0 0 0 0
2.647500E+04 0 0 0 0 0 0 0 0
2.652500E+04 0 0 0 0 0 0 0 0
2.657500E+04 0 0 0 0 0 0 0 0
2.662500E+04 0 0 0 0 0 0 0 0
2.667500E+04 0 0 0 0 0 0 0 0
2.672500E+04 0 0 0 0 0 0 0 0
2.677500E+04 0 0 0 0 0 0 0 0
2.682500E+04 0 0 0 0 0 0 0 0
2.687500E+04 0 0 0 0 0 0 0 0
2.692500E+04 0 0 0 0 0 0 0 0
2.697500E+04 0 0 0 0 0 0 0 0
2.702500E+04 0 0 0 0 0 0 0 0
2.707500E+04 0 0 0 0 0 0 0 0
2.712500E+04 0 0 0 0 0 0 0 0
2.717500E+04 0 0 0 0 0 0 0 0
2.722500E+04 0 0 0 0 0 0 0 0
2.727500E+04 0 0 0 0 0 0 0 0
2.732500E+04 0 0 0 0 0 0 0 0
2.737500E+04 0 0 0 0 0 0 0 0
2.742500E+04 0 0 0 0 0 0 0 0
2.747500E+04 0 0 0 0 0 0 0 0
2.752500E+04 0 0 0 0 0 0 0 0
2.757500E+04 0 0 0 0 0 0 0 0
2.762500E+04 0 0 0 0 0 0 0 0
2.767500E+04 0 0 0 0 0 0 0 0
2.772500E+04 0 0 0 0 0 0 0 0
2.777500E+04 0 0 0 0 0 0 0 0
2.782500E+04 0 0 0 0 0 0 0 0
2.787500E+04 0 0 0 0 0 0 0 0
2.792500E+04 0 0 0 0 0 0 0 0
2.797500E+04 0 0 0 0 0 0 0 0
2.802500E+04 0 0 0 0 0 0 0 0
2.807500E+04 0 0 0 0 0 0 0 0
2.812500E+04 0 0 0 0 0 0 0 0
2.817500E+04 0 0 0 0 0 0 0 0
2.822500E+04 0 0 0 0 0 0 0 0
2.827500E+04 0 0 0 0 0 0 0 0
2.832500E+04 0 0 0 0 0 0 0 0
2.837500E+04 0 0 0 0 0 0 0 0
2.842500E+04 0 0 0 0 0 0 0 0
2.847500E+04 0 0 0 0 0 0 0 0
2.852500E+04 0 0 0 0 0 0 0 0
2.857500E+04 0 0 0 0 0 0 0 0
2.862500E+04 0 0 0 0 0 0 0 0
2.867500E+04 0 0 0 0 0 0 0 0
2.872500E+04 0 0 0 0 0 0 0 0
2.877500E+04 0 0 0 0 0 0 0 0
2.882500E+04 0 0 0 0 0 0 0 0
2.887500E+04 0 0 0 0 0 0 0 0
2.892500E+04 0 0 0 0 0 0 0 0
2.897500E+04 0 0 0 0 0 0 0 0
2.902500E+04 0 0 0 0 0 0 0 0
2.907500E+04 0 0 0 0 0 0 0 0
2.912500E+04 0 0 0 0 0 0 0 0
2.917500E+04 0 0 0 0 0 0 0 0
2.922500E+04 0 0 0 0 0 0 0 0
2.927500E+04 0 0 0 0 0 0 0 0
2.932500E+04 0 0 0 0 0 0 0 0
2.937500E+04 0 0 0 0 0 0 0 0
2.942500E+04 0 0 0 0 0 0 0 0
2.947500E+04 0 0 0 0 0 0 0 0
2.952500E+04 0 0 0 0 0 0 0 0
2.957500E+04 0 0 0 0 0 0 0 0
2.962500E+04 0 0 0 0 0 0 0 0
2.967500E+04 0 0 0 0 0 0 0 0
2.972500E+04 0 0 0 0 0 0 0 0
2.977500E+04 0 0 0 0 0 0 0 0
2.982500E+04 0 0 0 0 0 0 0 0
2.987500E+04 0 0 0 0 0 0 0 0
2.992500E+04 0 0 0 0 0 0 0 0
2.997500E+04 0 0 0 0 0 0 0 0
3.002500E+04 0 0 0 0 0 0 0 0
3.007500E+04 0 0 0 0 0 0 0 0
3.012500E+04 0 0 0 0 0 0 0 0
3.017500E+04 0 0 0 0 0 0 0 0
3.022500E+04 0 0 0 0 0 0 0 0
3.027500E+04 0 0 0 0 0 0 0 0
3.032500E+04 0 0 0 0 0 0 0 0
3.037500E+04 0 0 0 0 0 0 0 0
3.042500E+04 0 0 0 0 0 0 0 0
3.047500E+04 0 0 0 0 0 0 0 0
3.052500E+04 0 0 0 0 0 0 0 0
3.057500E+04 0 0 0 0 0 0 0 0
3.062500E+04 0 0 0 0 0 0 0 0
3.067500E+04 0 0 0 0 0 0 0 0
3.072500E+04 0 0 0 0 0 0 0 0
3.077500E+04 0 0 0 0 0 0 0 0
3.082500E+04 0 0 0 0 0 0 0 0
3.087500E+04 0 0 0 0 0 0 0 0
3.092500E+04 0 0 0 0 0 0 0 0
3.097500E+04 0 0 0 0 0 0 0 0
3.102500E+04 0 0 0 0 0 0 0 0
